player, team, num, position, gp, pts, goals, ast, onePt, onePtPct, twoPt, twoPtPct, sh, shPct, sog, to, ct, gb, fo, foPct
John Ranagan,CHR,31,Midfield,10,17,12,3,10-29,34.4%,2-3,66.6%,32,37.5%,21,7,3,3,0-0,0.0%
Jordan MacIntosh,CHR,29,Midfield,8,22,20,2,20-45,44.4%,0-1,0.0%,46,43.4%,33,13,3,26,0-5,0.0%
Jordan Wolf,CHR,32,Attack,10,32,16,16,16-64,25.0%,0-1,0.0%,65,24.6%,38,24,1,12,0-0,0.0%
Jovan Miller,CHR,-,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Justin Guterding,CHR,14,Attack,10,35,20,14,19-60,31.6%,1-2,50.0%,62,32.2%,38,18,0,15,0-0,0.0%
Justin Turri,CHR,-,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Luke Duprey,CHR,9,Defense,2,0,0,0,0-0,0.0%,0-1,0.0%,1,0.0%,1,0,1,2,0-0,0.0%
Matt Danowski,CHR,40,Midfield,9,15,8,6,7-25,28.0%,1-10,10.0%,35,22.8%,20,8,1,3,0-0,0.0%
Michael Manley,CHR,5,Defense,9,3,1,1,0-0,0.0%,1-1,100.0%,1,100.0%,1,2,8,15,0-0,0.0%
Mike O'Neil,CHR,37,Midfield,7,1,1,0,1-2,50.0%,0-2,0.0%,4,25.0%,3,2,4,11,0-1,0.0%
Ned Crotty,CHR,22,Midfield,10,27,17,9,16-40,40.0%,1-6,16.6%,46,36.9%,29,14,0,4,0-0,0.0%
Romar Dennis,CHR,1,Midfield,10,6,4,1,3-13,23.0%,1-11,9.0%,24,16.6%,8,4,2,7,0-0,0.0%
Ty Thompson,CHR,91,Attack,3,3,2,1,2-5,40.0%,0-0,0.0%,5,40.0%,4,1,0,1,0-0,0.0%
Will Haus,CHR,6,Midfield,9,4,4,0,4-10,40.0%,0-1,0.0%,11,36.3%,8,4,4,17,0-0,0.0%
Connor Farrell,CHR,25,Faceoff,10,2,1,1,1-7,14.2%,0-0,0.0%,7,14.2%,3,7,2,70,114-209,54.5%
Ryan Flanagan,CHR,42,Defense,6,0,0,0,0-1,0.0%,0-0,0.0%,1,0.0%,0,3,4,15,0-0,0.0%
Max Tuttle,CHR,21,Midfield,8,7,5,2,5-29,17.2%,0-4,0.0%,33,15.1%,15,5,5,12,0-2,0.0%
Chris Sabia,CHR,16,Defense,7,0,0,0,0-0,0.0%,0-1,0.0%,1,0.0%,1,2,5,11,0-0,0.0%
Simon Mathias,CHR,45,Attack,7,7,6,1,6-26,23.0%,0-0,0.0%,26,23.0%,16,5,0,5,0-0,0.0%
John Prendergast,CHR,2,Midfield,6,1,0,1,0-1,0.0%,0-1,0.0%,2,0.0%,0,1,1,3,0-0,0.0%
Joe Fletcher,CHR,36,Defense,6,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,6,9,0-0,0.0%
Alec Tulett,CHR,3,Defense,4,0,0,0,0-1,0.0%,0-0,0.0%,1,0.0%,1,4,2,8,0-0,0.0%
Alex Ready,CHR,19,G,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Greg Coholan,CHR,4,M,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Brent Adams,RED,8,Midfield,9,11,10,1,10-26,38.4%,0-9,0.0%,35,28.5%,20,11,1,11,0-0,0.0%
Brent Hiken,RED,-,Faceoff,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Brian Karalunas,RED,25,Defense,10,3,1,2,1-4,25.0%,0-0,0.0%,4,25.0%,1,0,6,14,5-14,35.7%
Chazz Woodson,RED,-,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Eddy Glazener,RED,41,Defense,9,2,1,1,1-4,25.0%,0-0,0.0%,4,25.0%,3,4,6,9,0-0,0.0%
Garrett Epple,RED,52,Defense,10,1,1,0,1-2,50.0%,0-3,0.0%,5,20.0%,3,5,23,40,0-0,0.0%
Greg Gurenlian,RED,32,Faceoff,8,1,1,0,1-10,10.0%,0-0,0.0%,10,10.0%,4,6,0,32,86-172,50.0%
Gunnar Waldt,RED,14,Goalie,4,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,1,0-0,0.0%
Jack Kelly,RED,-,Goalie,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Jack Near,RED,2,Midfield,7,0,0,0,0-5,0.0%,0-5,0.0%,10,0.0%,5,1,1,7,0-0,0.0%
Joe Walters,RED,1,Midfield,10,20,9,11,9-42,21.4%,0-0,0.0%,42,21.4%,26,18,0,5,0-0,0.0%
John Sexton,RED,46,Defense,9,1,1,0,1-4,25.0%,0-4,0.0%,8,12.5%,2,4,10,18,5-15,33.3%
JoJo Marasco,RED,22,Midfield,3,3,1,2,1-3,33.3%,0-0,0.0%,3,33.3%,2,0,0,2,0-0,0.0%
Kyle Harrison,RED,18,Midfield,10,3,3,0,3-28,10.7%,0-3,0.0%,31,9.6%,20,5,1,4,0-0,0.0%
Kylor Bellistri,RED,88,Attack,2,1,0,1,0-4,0.0%,0-0,0.0%,4,0.0%,3,1,0,3,0-0,0.0%
Larken Kemp,RED,42,Defense,6,1,1,0,1-1,100.0%,0-0,0.0%,1,100.0%,1,0,3,8,0-1,0.0%
Matt Kavanagh,RED,5,Attack,9,24,15,8,14-53,26.4%,1-1,100.0%,54,27.7%,36,10,2,14,0-0,0.0%
Matt Landis,RED,43,Defense,8,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,3,13,0-0,0.0%
Nick Ossello,RED,13,Midfield,3,0,0,0,0-3,0.0%,0-0,0.0%,3,0.0%,0,1,1,6,2-12,16.6%
Patrick Harbeson,RED,40,Midfield,10,3,3,0,3-9,33.3%,0-0,0.0%,9,33.3%,6,5,4,21,0-4,0.0%
Peter Baum,RED,-,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Sergio Perkovic,RED,16,Midfield,10,10,9,1,9-29,31.0%,0-14,0.0%,43,20.9%,21,6,1,4,0-0,0.0%
Sergio Salcido,RED,48,Midfield,9,20,10,9,9-40,22.5%,1-3,33.3%,43,23.2%,20,5,0,10,0-0,0.0%
Clarke Petterson,RED,45,Attack,7,12,9,3,9-22,40.9%,0-0,0.0%,22,40.9%,12,5,1,7,0-0,0.0%
Tim Troutner,RED,0,Goalie,10,1,0,1,0-0,0.0%,0-0,0.0%,0,0.0%,0,5,1,16,0-0,0.0%
Ryder Garnsey,RED,50,Midfield,9,24,14,10,14-40,35.0%,0-0,0.0%,40,35.0%,28,13,1,11,0-0,0.0%
